Date,Category,Amount,Description
2026-05-18,Entertainment,850,Games
2026-05-19,Food,600,Lunch
2026-05-20,Travel,1300,Train
2026-05-21,Bills,2800,Water
2026-05-22,Shopping,2500,Phone
2026-05-23,Entertainment,1000,Streaming
2026-05-24,Food,550,Dinner
2026-05-25,Travel,900,Cab
2026-05-26,Bills,3200,Rent
2026-05-27,Shopping,1900,Shoes
2026-05-28,Entertainment,1150,Concert
2026-05-29,Food,450,Coffee
2026-05-30,Travel,1400,Flight
2026-05-31,Bills,2100,Electricity
2026-06-01,Shopping,1750,Groceries
2026-06-02,Entertainment,800,Movie
2026-06-03,Food,650,Restaurant
2026-06-04,Travel,950,Metro
2026-06-05,Bills,2700,Gas
2026-06-06,Shopping,2200,Watch
2026-06-07,Entertainment,1050,Gaming
2026-06-08,Food,500,Breakfast
2026-06-09,Travel,1200,Train
2026-06-10,Bills,3000,Rent
2026-06-11,Shopping,1850,Accessories
2026-06-12,Entertainment,950,Music
2026-06-13,Food,600,Dinner
2026-06-14,Travel,850,Taxi
2026-06-15,Bills,2300,Phone
2026-06-16,Shopping,2400,Smartwatch
2026-06-17,Entertainment,1300,Vacation
2026-06-18,Food,550,Lunch
2026-06-19,Travel,1000,Cab
2026-06-20,Bills,2600,Internet
